Group,Vial #,Initials,Method,Zind,Dmel,Dhyd,Dsuz,otherD
6,,SN/CW,asp,6,5,1,2,0
5,,EP,asp,1,0,0,3,0
6,,SN/CW,net,2,1,9,0,1
4,,SPS,net,15,1,0,0,0
4,,SPS,net,15,2,6,0,1
4,,MCE,asp,19,12,5,0,0
4,,MCE/SPS,asp,21,2,0,0,1
5,,JJ,asp,0,0,1,0,0
5,,PE,asp,2,0,5,0,0
5,,PE,net,10,3,1,2,1
3,,SJ,asp,23,7,4,0,2
3,,BW,net,2,2,1,0,0
3,,BW,net,1,1,1,0,6
3,,BW,net,6,0,2,0,4
2,,LS,net,3,0,0,1,3
2,,TI,asp,2,0,0,2,0
1,,SM,asp,19,11,10,0,2
1,,SM,net,45,19,10,0,6
1,,PE,asp,2,19,16,0,0
1,,PE,net,12,2,8,0,0
2,,VC,asp,0,2,0,2,0
2,,VC,net,4,9,10,0,3